myday;pm25;pm10;tmp;rh;rain;radsolar;co2;pressure;ws;no2;co;so2;o3
2021-04-19;13,34973861;27,98055627;15,74666667;54,86755952;0,00375;275,05;521,4166667;564,2777778;1,740909091;18,05415025;0,662570245;3,026495118;27,43253479
2021-04-20;18,05064184;40,72930391;14,53011905;59,4934949;0,322083333;282,3940476;577,125;564,0873016;1,589177489;22,55610884;0,787024456;3,53194063;23,57222434
2021-04-21;23,36760652;46,54609638;14,82825;62,92625;0,00125;190,5116667;554,9583333;563,9777778;1,311060606;26,52002688;0,871433402;4,086705046;18,64718677
2021-04-22;24,4583485;50,89450209;15,49833333;61,83080745;0,089166667;274,4927536;576,9583333;563,3731884;1,545454545;23,19200026;0,850721802;4,869007265;22,28863977
2021-04-23;20,7877735;38,5251743;15,72833333;62,05960663;0,097101449;163,6554348;540,9583333;563,513285;1,719166667;19,8340771;0,646515038;3,834516439;28,99109797
2021-04-24;24,23608229;40,83450322;15,90166667;65,12595238;0,115;232,9333333;550,625;563,7083333;1,3725;19,55096605;0,664111871;3,649884002;31,09279791
2021-04-25;18,39013889;26,96446229;16,34333333;67,86809524;0,1875;183,2;529,2916667;563,4583333;1,247083333;14,44753321;0,488510162;3,165298207;33,76564517
2021-04-26;16,45768143;31,07022743;16,03791667;66,85011905;0,10125;156,4583333;545,5416667;563,1527778;1,374166667;23,79857576;0,832080608;2,730635295;22,52716021
2021-04-27;14,54659405;30,43386446;14,89958333;68,35125;0,11625;97,95833333;540,1666667;563,3194444;1,395;26,5455013;0,861115314;3,42164611;18,30373053
2021-04-28;13,40937578;23,33223462;14,12333333;75,57183983;0,746666667;108,5166667;553,4166667;563,6388889;0,7895;25,30674939;0,905449904;2,935770009;13,88876923
2021-04-29;11,39929595;18,90133789;13,91416667;76,58166667;1,082916667;126,7416667;550,9166667;564,0833333;1,017481884;20,34670881;0,933130739;2,556800423;9,314283679
2021-04-30;12,83011473;23,80132932;12,53916667;77,03118012;0,345416667;79,72572464;553,9583333;564,6974638;0,605091355;22,07832211;0,985420741;2,938571945;8,128341153
2021-05-01;19,61103778;37,10883525;13,98333333;72,9635119;0,667083333;177,7666667;581,75;564,0972222;0,948106061;21,7650134;0,92829198;4,375551362;24,05657759
2021-05-02;10,34328553;15,08873113;14,21416667;73,02446429;0,795;159,5666667;529,4583333;564,3888889;0,960296143;15,87842306;0,589647031;3,05065087;21,67764701
2021-05-03;12,11561579;20,23331523;13,51666667;74,89630952;0,493333333;126,8;547,2083333;564,6805556;0,927385308;23,30790345;0,95036715;3,299435228;15,77362572
2021-05-04;14,0187651;24,59974749;14,51166667;73,26541667;0,36125;168,9916667;540,4583333;564,7222222;0,898484848;23,71379499;1,020708293;3,07810556;19,24033778
2021-05-05;12,83888889;21,36832336;13,92708333;74,52363095;0,979583333;170,5583333;532,9166667;564,7083333;1,019318182;18,46655272;0,892103518;3,212361755;19,79406662
2021-05-06;16,40382631;28,78727456;15,05375;68,96119048;0,008333333;198,0416667;530,125;564,3333333;1,226028139;17,34645796;0,886201542;8,097228278;16,15698375
2021-05-07;16,00323068;34,70924145;16,08958333;65,34084627;0,13375;267,0702899;526,4583333;564,0791063;1,441469038;16,81178109;0,834228179;4,012439689;22,27896058
2021-05-08;16,96836504;32,13311112;14,33625;74,77244048;0,689166667;107,8;545;564,1388889;1,01942959;22,30984081;0,926581997;3,222941839;17,00128142
2021-05-09;6,262744108;13,42771469;15,62166667;67,6322619;0,165;219,475;523,8333333;563,9583333;1,553289474;12,16624182;0,542114438;2,132941589;15,82671459
2021-05-10;6,306227897;14,24291126;13,97041667;68,82892857;0,275416667;153,075;555,375;563,9583333;1,582575758;12,19929552;0,654440549;4,317224749;9,163495063
2021-05-11;8,176489699;21,40815341;14,92306818;65,39184524;0,054583333;198,85;623,4166667;563,8333333;1,533953168;11,87373749;0,751329347;6,15496941;7,903126215
2021-05-12;5,971108815;16,07666667;15,82;61,4854736;0,000833333;214,3460145;496,1666667;563,9214976;1,754512516;10,56736027;0,557393579;4,795409377;13,9291954
2021-05-13;8,140596179;22,12390316;16,1625;61,40029762;0,005416667;156,4416667;486,125;563,9444444;1,551515152;13,36194952;0,629516484;4,944611391;14,72000945
2021-05-14;10,57986157;26,71618814;16,01875;64,38130952;0,004583333;162,5416667;499,2083333;563,7916667;1,335606061;16,91298875;0,762512353;5,288391794;13,1071435
2021-05-15;11,5089876;28,80234566;15,68657407;66,97895833;0,015833333;156,6458333;517,375;563,6666667;1,505833333;16,13627667;0,794306074;7,588519942;12,0133046
